percent_adult_covid_admissions,percent_pediatric_covid_admissions,percent_hospitals_previous_day_admission_adult_covid_confirmed,percent_hospitals_previous_day_admission_pediatric_covid_confirmed,percent_hospitals_previous_day_admission_influenza_confirmed,percent_hospitals_total_patients_hospitalized_confirmed_influenza,percent_hospitals_icu_patients_confirmed_influenza,percent_hospitals_inpatient_beds,percent_hospitals_total_icu_beds,percent_hospitals_inpatient_beds_used,percent_hospitals_icu_beds_used,percent_hospitals_percent_inpatient_beds_occupied,percent_hospitals_percent_staff_icu_beds_occupied,percent_hospitals_percent_inpatient_beds_covid,percent_hospitals_percent_inpatient_beds_influenza,percent_hospitals_percent_staff_icu_beds_covid,percent_hospitals_percent_icu_beds_influenza,percent_hospitals_admissions_all_covid_confirmed,percent_hospitals_total_patients_hospitalized_covid_confirmed,percent_hospitals_staff_icu_patients_covid_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_total_patients_hospitalized_influenza_confirmed,avg_staff_icu_patients_covid_confirmed,avg_icu_patients_influenza_confirmed,avg_inpatient_beds,avg_total_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,avg_percent_inpatient_beds_occupied,avg_percent_staff_icu_beds_occupied,avg_percent_inpatient_beds_covid,avg_percent_inpatient_beds_influenza,avg_percent_staff_icu_beds_covid,avg_percent_icu_beds_influenza,total_admissions_all_influenza_confirmed,total_admissions_all_covid_confirmed,total_admissions_pediatric_covid_confirmed,total_admissions_adult_covid_confirmed,latitude,longitude,year,month,day
0.9746,0.0254,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,0.9829,2128.0,13.0,536.0,2.0,57624.0,10398.0,42404.0,6880.0,0.7358,0.6617,0.0369,0.0002,0.0515,0.0002,4.0,1928.0,49.0,1879.0,36.778259,-119.417931,2021.0,4.0,10.0
0.9921,0.0079,0.9789,0.5986,0.9789,0.9789,0.9789,0.9437,0.9789,0.9437,0.9789,0.9437,0.9789,0.9437,0.9437,0.9789,0.9789,0.9789,0.9789,0.9789,1238.0,35.0,274.0,16.0,17857.0,3153.0,14558.0,2476.0,0.8152,0.7853,0.0643,0.0019,0.0868,0.0052,22.0,886.0,7.0,879.0,33.247875,-83.441162,2022.0,3.0,12.0
0.966,0.034,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,253.0,25.0,37.0,1.0,19865.0,3406.0,14019.0,2282.0,0.7057,0.6702,0.0127,0.0013,0.0107,0.0003,28.0,235.0,8.0,227.0,35.860119,-86.660156,2023.0,10.0,14.0
0.9739,0.0261,0.9834,0.9834,0.9779,0.9779,0.9779,0.9834,0.9834,0.9834,0.9779,0.9834,0.9779,0.9834,0.9779,0.9834,0.9779,0.9834,0.9834,0.9779,2858.0,5.0,817.0,1.0,27224.0,4951.0,21073.0,3678.0,0.774,0.7479,0.105,0.0002,0.165,0.0003,12.0,2493.0,65.0,2428.0,40.367474,-82.996216,2021.0,10.0,30.0
0.978,0.022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,843.0,2.0,213.0,1.0,20881.0,3121.0,15654.0,2302.0,0.7496,0.7377,0.0404,0.0001,0.0683,0.0002,2.0,956.0,21.0,935.0,44.182205,-84.506836,2021.0,3.0,20.0
0.9644,0.0356,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,1053.0,31.0,241.0,4.0,17395.0,3308.0,12142.0,2196.0,0.6979,0.6638,0.0606,0.0018,0.0727,0.0012,28.0,534.0,19.0,515.0,35.860119,-86.660156,2022.0,3.0,12.0
0.9497,0.0503,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,0.9779,830.0,278.0,112.0,37.0,24815.0,4117.0,19731.0,2975.0,0.7949,0.7224,0.0335,0.0113,0.0273,0.0091,32.0,1094.0,55.0,1039.0,40.367474,-82.996216,2022.0,10.0,22.0
0.9455,0.0545,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,402.0,17.0,58.0,3.0,17473.0,3284.0,12367.0,2171.0,0.7077,0.6612,0.023,0.001,0.0176,0.001,18.0,422.0,23.0,399.0,35.860119,-86.660156,2022.0,6.0,18.0
0.9521,0.0479,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,285.0,58.0,41.0,6.0,10356.0,1602.0,6694.0,975.0,0.6464,0.6088,0.0275,0.0056,0.0256,0.0039,125.0,501.0,24.0,477.0,39.113014,-105.358887,2023.0,12.0,9.0
0.9825,0.0175,0.972,0.972,0.5701,0.6262,0.5607,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.6262,0.972,0.5607,0.972,0.972,0.972,955.0,31.0,255.0,7.0,17273.0,3307.0,12556.0,2321.0,0.7269,0.7019,0.0553,0.0026,0.0772,0.0033,25.0,800.0,14.0,786.0,35.860119,-86.660156,2021.0,12.0,18.0
