Actual,Predicted_XGB
3.0,3.013182
3.3,3.6203496
2.4,2.2274685
4.6,4.072457
9.5,7.3454075
2.2,3.625303
5.3,5.87977
5.1,5.9667196
5.2,6.267522
9.4,8.451076
4.1,4.147951
10.6,11.112305
6.2,5.940567
13.6,15.292709
1.9,2.120019
3.0,2.678247
1.4,1.5344775
12.4,11.013299
3.3,3.9061472
10.3,11.294318
3.0,4.0862126
22.2,17.729612
6.2,6.659904
10.3,10.110448
2.1,2.5695236
2.5,2.2499287
5.1,4.817213
4.9,5.5328684
8.2,6.815657
19.9,21.57783
7.8,7.3999114
7.5,6.937199
1.8,1.4583061
6.7,6.5814347
4.6,4.3669686
8.5,8.376748
1.4,1.6750051
4.6,4.250427
9.5,9.3180275
0.7,0.79565084
3.5,2.4668
6.0,5.8918824
6.8,6.1586885
4.6,3.8531337
13.5,12.667397
1.1,1.0268825
9.9,9.149618
7.5,8.834966
3.6,3.7841463
9.1,8.619451
2.0,2.5533054
8.2,8.318496
1.7,2.0008628
4.5,5.081704
5.9,6.149986
1.4,1.3197575
2.9,2.6307864
10.6,10.561657
7.7,8.82886
3.2,1.9174777
11.6,11.396302
2.7,2.1908684
7.3,7.6728415
1.9,1.9658452
4.5,4.6573005
2.2,1.9540943
4.0,3.726246
7.7,7.0179124
4.6,4.726598
20.8,19.945938
5.2,4.3115273
3.6,4.528613
8.3,9.342535
5.4,6.34941
7.7,8.103868
28.9,29.26879
2.4,2.5360897
30.8,31.589966
2.4,2.7973456
7.5,7.558123
1.2,1.0253359
7.5,6.6955996
8.5,7.277727
22.3,20.014446
12.9,11.667034
5.8,5.34939
10.9,9.429115
1.1,0.9222971
3.0,2.664451
17.4,16.15503
24.0,22.72729
4.5,4.6413574
8.2,7.484249
4.3,4.9152813
0.9,0.9462696
5.6,5.257228
3.6,4.0256166
21.9,20.82488
0.7,0.83084375
1.5,2.4547737
3.0,3.6719413
0.9,0.5649928
18.1,18.368908
11.3,11.650869
7.7,8.129695
11.2,12.197334
2.9,1.9670882
7.9,6.643559
5.6,4.959248
4.6,5.367323
10.6,13.827825
5.1,4.777221
23.2,22.697853
3.3,3.392989
3.2,3.170854
5.7,5.434289
2.2,3.5476
2.4,2.4001298
4.5,5.026073
6.3,6.3838515
4.9,4.7173095
5.4,3.880266
9.6,9.361749
1.8,1.5965618
3.2,3.0634217
8.1,8.3429165
5.4,4.860605
4.4,3.8311586
2.6,3.1063435
12.5,11.95547
7.3,5.6495233
4.7,5.0503817
10.4,10.382868
5.8,3.9799006
8.3,7.9654016
3.7,4.43297
12.9,12.591903
8.8,8.943452
3.5,4.006893
8.0,7.844954
3.1,4.064424
16.1,15.912081
6.2,6.0135317
2.6,3.500481
1.5,1.1877177
4.7,4.8412127
15.1,14.339481
6.9,7.872153
11.5,11.689137
6.5,6.968586
8.2,7.93007
8.0,6.370194
7.1,9.185512
6.1,5.5342536
5.4,4.6277337
2.1,2.3241556
24.3,24.090773
3.9,2.3959858
2.2,2.886105
5.5,5.244624
14.6,14.894289
3.7,3.5373533
33.1,32.886326
35.9,34.136177
0.9,0.6780034
2.6,2.456771
4.4,5.0876102
1.5,1.9243319
4.2,4.2085104
5.0,3.6664057
1.7,2.0792866
12.0,10.321312
13.9,11.29681
7.9,9.263308
3.0,3.1093469
1.7,2.756149
17.1,15.6415615
23.2,22.42916
8.5,8.850639
6.6,5.613749
9.7,10.848318
3.9,4.606194
4.0,4.1625195
20.4,18.00593
10.0,10.832178
1.8,2.4316928
2.2,1.9752153
7.8,7.0337176
28.3,28.823696
7.6,8.525447
4.1,4.155176
2.2,2.38951
9.4,8.953271
51.1,46.502937
2.0,2.6119483
3.9,3.6462789
4.7,4.0894256
27.8,26.823996
9.4,9.354892
23.8,23.047314
31.3,30.693857
20.6,22.788462
1.4,2.0499625
9.1,7.926105
4.4,4.2303705
1.5,1.5219431
4.8,5.177224
9.2,11.239297
2.2,2.5365417
5.1,6.5099163
12.1,11.737477
15.4,15.362742
1.8,1.9892156
19.2,15.789593
16.4,16.286097
1.2,1.2361974
1.3,1.3899627
9.2,7.7889905
11.5,12.325361
4.0,3.5327928
1.4,1.1813079
18.0,17.536032
3.3,3.502053
5.1,4.0455317
1.6,1.9235039
0.9,0.7457622
3.9,3.2386868
9.5,8.56318
4.6,6.6301436
16.8,16.589735
6.8,7.0197845
8.2,8.59434
14.2,14.091062
6.2,7.7304296
9.9,9.485295
3.2,3.3483002
5.5,6.6470695
14.4,14.391415
2.0,3.527927
2.7,2.7699063
11.4,11.237134
16.3,16.888247
6.2,5.649804
3.1,2.8079624
6.9,7.8894515
6.9,6.6083555
25.4,25.237516
9.0,8.704656
3.4,3.9510636
6.5,6.1246676
4.3,4.2781844
0.6,0.9271987
3.9,4.6038675
7.7,7.967952
7.6,8.7598505
4.6,3.6248713
5.4,5.4111314
5.8,7.215627
1.7,2.3705647
13.2,12.900186
1.2,1.1683419
21.7,20.056557
7.1,7.0141006
8.7,9.412499
11.4,11.613858
6.0,5.8006287
22.2,23.735508
0.8,0.9958079
4.2,4.63028
6.7,6.526844
8.1,7.6483254
12.6,11.887735
4.8,4.771144
5.6,5.4125576
2.9,2.8343594
15.5,15.508476
9.4,8.030112
4.4,4.980158
7.2,7.229687
2.6,3.6493042
12.3,12.486637
9.4,8.713458
7.8,7.9032817
16.2,16.44098
4.4,5.972814
11.0,9.780078
2.1,1.313932
5.6,7.6853786
7.1,6.961846
1.7,2.3080354
16.4,13.953939
6.1,5.5526876
7.0,7.2661896
1.4,1.519583
3.6,4.721816
8.9,8.613226
3.3,3.2780952
12.1,11.259182
6.4,6.791746
4.9,4.8724575
2.5,2.2072315
2.8,2.6646562
1.6,1.9154007
5.1,5.105858
2.9,3.304131
3.1,3.4041274
2.2,1.2353804
11.1,8.726971
2.7,2.9829948
3.2,3.835601
15.8,13.7858515
6.5,6.2269936
7.3,9.644671
7.2,7.7108526
11.4,10.379724
3.5,3.694206
39.3,37.66142
25.4,24.02372
1.2,1.2014619
10.5,10.200734
5.1,5.2410903
5.3,6.720794
1.6,1.954334
2.5,2.0511405
5.3,5.914674
10.1,9.586179
4.9,5.1840506
1.5,1.2120135
3.4,3.4666295
37.0,36.676144
6.1,5.658802
14.1,13.682842
0.7,1.0571995
6.2,5.444856
2.2,1.4296907
1.9,2.0891576
1.3,2.1031468
3.1,4.106171
17.7,18.322014
30.0,30.622547
9.9,9.871186
2.8,3.3115947
6.2,5.203716
10.2,11.882485
5.1,5.5729895
2.2,2.4935067
9.5,10.113076
30.9,29.681484
6.9,6.025652
20.4,20.995304
11.7,10.507585
1.9,2.2346947
5.6,5.721904
2.9,3.0213811
6.3,6.174887
13.2,12.306092
8.5,8.319845
6.3,7.0852065
4.3,5.286793
2.0,2.4033744
10.9,11.690407
8.3,8.65907
4.0,4.3284135
8.8,8.927792
3.9,3.367384
4.3,4.487405
5.6,4.5587296
7.5,7.2969255
2.2,2.0620973
5.7,5.6216073
4.1,3.9091012
3.5,3.9775448
6.6,6.2714415
22.1,21.242203
8.1,10.18142
4.2,3.6627996
20.2,21.684053
9.1,9.324636
3.3,2.1721907
1.5,1.6930157
6.9,6.7248907
7.6,6.9217873
1.3,1.2539431
4.9,7.112401
5.6,6.4784546
2.8,3.0197845
7.0,6.476927
15.7,13.689004
10.0,9.158856
3.9,3.7187192
1.9,2.0640128
15.0,14.563889
5.7,5.223036
2.4,2.9537635
22.9,23.8684
7.0,7.325612
18.6,16.557478
9.1,8.69386
0.9,1.4584736
33.4,33.424446
14.6,12.9342165
9.6,10.3654995
9.6,9.501093
3.5,2.6232154
4.5,4.5288444
6.0,6.4445586
4.1,2.9102445
3.4,3.4051135
1.9,1.6831754
2.7,2.679248
2.6,2.7614336
8.6,9.624098
2.2,2.126154
7.8,6.589616
8.8,10.2301855
4.3,3.856108
1.3,0.7830312
8.1,7.9069777
3.9,3.1982603
10.7,9.378648
4.4,4.7757845
2.0,2.288133
25.8,27.548752
3.3,3.5426667
8.0,5.429651
6.2,4.9963055
3.3,3.0962327
8.4,5.973454
8.0,6.348674
8.8,9.892701
2.2,2.1044412
14.0,14.368134
1.9,2.288314
2.6,2.7014208
13.3,13.074911
9.3,9.23111
23.8,23.901003
5.2,6.170023
2.3,3.1328285
1.9,1.7198051
1.5,2.4566388
21.9,21.73191
5.4,7.326635
11.8,13.209106
